القائمة,المرشح,عدد الأصوات
"سوا ضيعتنا اقوى","ماريو حنا عبود",0
"سوا ضيعتنا اقوى","حسن احمد الحاج",0
"سوا ضيعتنا اقوى","كمال نورالدين مقصود",0
"سوا ضيعتنا اقوى","محمد ياسر ضاهر",4
"سوا ضيعتنا اقوى","بلال حكمت الحاج",1
"سوا ضيعتنا اقوى","نبال محمود حامد",8
"سوا ضيعتنا اقوى","غازي ديب الخوري",0
"سوا ضيعتنا اقوى","طلال محمد محمد عبدو",0
"سوا ضيعتنا اقوى","ياسر علي المقصود",0
"سوا ضيعتنا اقوى","خالد احمد علي",0
"سوا ضيعتنا اقوى","مروان مصطفى سعيد",4
"سوا ضيعتنا اقوى","شادي احمد ضاهر",1
"سوا ضيعتنا اقوى","رامي وليد زرزوري",4
"سوا ضيعتنا اقوى","الياس ابراهيم ابراهيم",0
"سوا ضيعتنا اقوى","سامو فيصل عباس",0
"لعيون ضيعتنا","مصطفى ابراهيم ابراهيم",0
"لعيون ضيعتنا","رامي عادل حداد",0
"لعيون ضيعتنا","حسين مصطفى سعيد",0
"لعيون ضيعتنا","احمد جمال الراعي",0
"لعيون ضيعتنا","محمد احمد عباس",0
"لعيون ضيعتنا","احمد عبد الله يحيا",0
"لعيون ضيعتنا","نزار سميح بيطار",0
"لعيون ضيعتنا","غازي محمد المقصود",0
"لعيون ضيعتنا","مصطفى قاسم ضاهر",0
"لعيون ضيعتنا","خضر علي خضر",0
"لعيون ضيعتنا","علي ابراهيم عثمان",0
"لعيون ضيعتنا","فؤاد سعيد عبدو",0
"لعيون ضيعتنا","سعاد قاسم قاسم",0
"لعيون ضيعتنا","عصام محمد زرزوري",0
"القرار والتغيير","وليد صبري عباس",0
"القرار والتغيير","شفيق موسى ديب حداد",0
"القرار والتغيير","نريمان اسعد ديب عبود",0
"القرار والتغيير","جمال عامر سعيد",0
"القرار والتغيير","محمد احمد سعيد",0
"القرار والتغيير","احمد خالد طنطاوي",0
"القرار والتغيير","مازن معروف يوسف",0
"القرار والتغيير","حبيب عفيف ابراهيم عبود",0
"القرار والتغيير","ابراهيم احمد يحيى",0
"القرار والتغيير","علاء عطيه عبيد",0
"القرار والتغيير","فهمية محمد العبيدان حيدر",0
"القرار والتغيير","عمر شكري برهان",0
"القرار والتغيير","عبدو محمد عبدو حمود",0
"القرار والتغيير","يسرا احمد الخضر الزرزوري",0
